country,name,lat,lng,climate
AD,Sant Julià de Lòria,42.46372,1.49129,Cfb
AD,Pas de la Casa,42.542770000000004,1.7336099999999999,Cfb
AD,Ordino,42.55623,1.53319,Cfb
AD,les Escaldes,42.507290000000005,1.53414,Cfb
AD,la Massana,42.544990000000006,1.51483,Cfb
AD,Encamp,42.53474,1.5801399999999999,Cfb
AD,Canillo,42.5676,1.59756,Cfb
AD,Arinsal,42.57205,1.48453,Cfb
AD,Andorra la Vella,42.50779,1.52109,Cfb
AE,Umm al Qaywayn,25.564729999999997,55.55517,BWh
AE,Ras al-Khaimah,25.78953,55.9432,BWh
AE,Muzayri‘,23.14355,53.7881,BWh
AE,Murbaḩ,25.276229999999998,56.362559999999995,BWh
AE,Khawr Fakkān,25.33132,56.34199,BWh
AE,Dubai,25.0657,55.17128,BWh
AE,Dibba Al-Fujairah,25.59246,56.261759999999995,BWh
AE,Dibba Al-Hisn,25.61955,56.272909999999996,BWh
AE,Sharjah,25.33737,55.41206,BWh
AE,Ar Ruways,24.11028,52.73056,BWh
AE,Al Fujayrah,25.116410000000002,56.341409999999996,BWh
AE,Al Ain,24.191670000000002,55.76056,BWh
AE,Ajman,25.41111,55.43504,BWh
AE,Adh Dhayd,25.288120000000003,55.881569999999996,BWh
AE,Abu Dhabi,24.46667,54.36666999999999,BWh
AF,Zorkot,33.54149,69.73446,Cfb
AF,Wulêswālī Bihsūd,34.3436,67.90567,Dsb
AF,Kuhsān,34.653890000000004,61.19778,BSk
AF,Lāsh,35.3782,64.77457,Csa
AF,Tukzār,35.94831,66.42132,Dsb
AF,Mīray,33.32462,68.44068,Csa
AF,Āq Kupruk,36.08352,66.84029,BSk
AF,Zurmat,33.43778,69.02774000000001,BSk
AF,Zaybāk,36.52947,71.3441,Dsc
AF,Zīārat-e Shāh Maqşūd,31.9848,65.4736,BSk
AF,Zindah Jān,34.34264,61.74675,BSk
AF,Zarghūn Shahr,32.84734,68.44573000000001,Csa
AF,Zaṟah Sharan,33.146409999999996,68.79213,Csa
AF,Zaranj,30.95962,61.860369999999996,BWh
AF,Zamtō Kêlay,32.3726,66.17708,BSk
AF,Yangī Qal‘ah,37.465720000000005,69.61131,BSk
AF,Yaḩyá Khēl,32.93742,68.64622,Csa
AF,Wāshēr,32.25122,63.85553,BWh
AF,Tōrmay,33.68847,68.40205,Dsb
AF,Tūlak,33.97509,63.728680000000004,Csa
AF,Tītān,33.69032,63.863609999999994,Csa
AF,Tīr Pul,34.59431,61.26895,BSk
AF,Taywarah,33.52118,64.42116,Csa
AF,Bāzār-e Tashkān,36.881679999999996,70.27674,Dsa
AF,Tarinkot,32.629979999999996,65.87805999999999,BSk
AF,Taloqan,36.73605,69.53451,Csa
AF,Tagāw-Bāy,35.69941,66.06164,Dsb
AF,Tagāb,34.85501,69.64917,BSk
AF,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,32.24139,62.94936,BWh
AF,Spīn Bōldak,31.00575,66.40001,BSh
AF,Spērah,33.202040000000004,69.5152,BSk
AF,Sōzmah Qal‘ah,36.09916,66.20823,BSk
AF,Siyāhgird,35.00553,68.85578000000001,Dsb
AF,Sheywah,34.571690000000004,70.58859,BSk
AF,Shīnḏanḏ,33.30294,62.1474,BSk
AF,Shaykh Amīr Kêlay,33.287440000000004,69.91283,BSk
AF,Qāshqāl,35.03975,69.00685,Dsb
AF,Shibirghān,36.66757,65.7529,BSk
AF,Shwāk,33.42386,69.37684,BSk
AF,Shahr-e Şafā,31.80347,66.32376,BSh
AF,Shahrān,36.97984,70.73928000000001,Dsb
AF,Shahrak,34.10737,64.3052,Dsb
AF,‘Alāqahdārī Shāh Jōy,32.52154,67.41315,Csa
AF,Wulêswālī Sayyid Karam,33.69056,69.36881,BSk
AF,Markaz-e Sayyidābād,34.000370000000004,68.71346,Dsb
AF,Şayād,36.135290000000005,65.8297,BSk
AF,Sidqābād,35.02298,69.35112,Dsb
AF,Sāyagaz,32.56521,67.03324,Csa
AF,Sar-e Tayghān,33.50998,65.67631999999999,Csa
AF,Sarōbī,34.589620000000004,69.76005,BSk
AF,Sar Kāṉī,34.79023,71.10961999999999,Csa
AF,Sarfirāz Kalā,32.98333,67.96517,Csa
AF,Sar-e Pul,36.21544,65.93249,BSk
AF,Sar Chakān,35.70177,65.23055,Csa
AF,Sangīn,32.07275,64.8359,BSh
AF,Sang-e Māshah,33.1396,67.44046,Dsb
AF,Sang-e Chārak,35.84972,66.43694,Dsb
AF,Sang Atesh,35.248000000000005,63.0044,Csa
AF,Sangar Sarāy,34.40744,70.63937,BSh
AF,Aībak,36.26468,68.01550999999999,Csa
AF,Rū-ye Sang,35.319990000000004,67.63387,BSk
AF,Rūdbār,30.15,62.6,BWh
AF,Rustāq,37.12604,69.83045,BSk
AF,Rabāţ-e Sangī-ye Pā’īn,34.79951,62.13916999999999,Csa
AF,Rāmak,33.52234,68.6264,Csb
AF,Qurghān,36.91939,65.0649,BSk
AF,Quchanghī,34.06183,66.27801,BSk
AF,Sangalak-i-Kaisar,35.687470000000005,64.29318,Csa
AF,Qarqīn,37.41853,66.04358,BSk
AF,Qarghah’ī,34.55402,70.24292,BSk
AF,Qarchī Gak,37.03999,66.78891,BSh
AF,Qarāwul,37.219590000000004,68.7802,BSk
